players,nation,pos,club,age,weekly,mp,starts,minutes,90s,goals,assists,nonpkg,pkmade,pkatt,yellowcrd,redcrd,shots,shtont,shtont%,shot/90,shtont/90,goal/sht,goal/shtont,distance,fksht,plyrtkl,tklw,dribtkl,dribpast,press,blocks,shblck,passblck,int,tkl+int,clr,errleadsht,2yelcrd,fouls,fouldrwn,offsides,cross,pkwon,pkcon,og,recov,aerialwon,aeriallost,won%,sca,sca90,dribsa,fouldsa,defsa,gca,gca90,dribg,fouldg,defg,mn/mp,min%,cmplmatch,subbedon,mn/sub,unsub,ong,onga,passcomp,passatt,passcomp%,livepass,deadpass,fkpass,pasfrmtbck,unprpass,offpasses,outobound,intercpass,blckdpass,touches,succdrib,attdrib,succ%,plyrsdrib,nutmegs,totdist,prgdist,disposs,passtarg,passrecvd,passrec%,progpass
Tariqe Fosu,GHA,DF,Brentford,25,5000,1,0,17,0.2,0,0,0,0,0,0,0,1,0,0,5.29,0,0,,18.4,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0.5,0,1,17,7,1,0,6,8,75,8,0,0,0,0,0,0,0,0,11,0,0,,0,0,80,61,0,9,8,88.9,3
Ryan Fredericks,ENG,DF,West Ham,28,40000,7,3,307,3.4,0,0,0,0,0,1,0,0,0,,0,0,,,,0,4,2,2,2,24,4,1,3,6,10,9,1,0,3,1,0,8,0,0,0,27,6,1,85.7,2,0.59,0,0,0,0,0,0,0,0,44,9,2,4,21,18,7,6,114,147,77.6,126,21,0,0,13,1,2,3,6,176,0,1,0,0,0,314,167,1,104,99,95.2,3
Dimitris Giannoulis,GRE,DF,Norwich City,25,7500,18,14,1169,13,0,1,0,0,0,2,0,3,2,66.7,0.23,0.15,0,0,18.7,0,40,23,22,13,204,38,6,32,36,76,31,0,0,18,26,0,30,0,0,0,119,10,9,52.6,17,1.31,0,2,0,2,0.15,0,0,0,65,34.2,10,4,13,19,5,27,519,705,73.6,576,129,9,0,97,2,11,37,20,881,27,44,61.4,30,5,2902,1783,9,521,474,91,27
Ben Gibson,ENG,DF,Norwich City,28,40000,28,28,2494,27.7,0,0,0,0,0,5,1,8,4,50,0.29,0.14,0,0,10,0,21,17,5,6,152,57,34,23,48,69,159,1,1,14,10,0,0,0,2,0,200,67,33,67,11,0.4,0,0,1,1,0.04,0,0,0,89,72.9,27,0,,7,20,55,1065,1303,81.7,1247,56,42,1,147,6,26,18,11,1597,2,5,40,2,0,4682,2770,4,1044,1026,98.3,2
Ben Godfrey,ENG,DF,Everton,23,76923,23,23,2029,22.5,0,0,0,0,0,6,0,18,6,33.3,0.8,0.27,0,0,16.7,0,53,26,16,14,266,48,20,28,48,101,98,3,0,17,14,0,14,0,0,0,161,51,36,58.6,31,1.38,1,0,2,2,0.09,0,0,0,88,59.3,21,0,,1,21,39,605,788,76.8,680,108,16,0,87,1,28,20,21,1062,6,10,60,7,0,2932,1476,9,560,514,91.8,16
Toti Gomes,POR,DF,Wolves,22,2692,4,4,360,4,0,0,0,0,0,1,0,1,0,0,0.25,0,0,,8,0,7,3,3,5,34,10,2,8,10,17,20,0,0,2,3,1,1,0,0,0,42,15,11,57.7,0,0,0,0,0,0,0,0,0,0,90,10.5,4,0,,12,7,6,142,191,74.3,189,2,1,0,25,0,7,5,1,241,3,4,75,3,0,701,364,1,147,142,96.6,1
Joe Gomez,ENG,DF,Liverpool,24,75000,8,4,331,3.7,0,1,0,0,0,2,0,1,0,0,0.27,0,0,,29.1,0,7,4,2,4,42,3,1,2,12,19,8,0,0,5,3,0,17,0,0,0,44,13,6,68.4,8,2.18,0,1,0,2,0.54,0,0,0,41,9.7,3,4,4,21,7,3,228,286,79.7,248,38,6,0,36,2,6,12,4,325,4,7,57.1,4,0,812,398,5,211,204,96.7,12
Marc Guehi,ENG,DF,Crystal Palace,21,50192,36,36,3222,35.8,2,1,2,0,0,4,0,18,5,27.8,0.5,0.14,0.11,0.4,10.3,0,33,22,11,6,223,46,29,17,58,91,143,0,0,19,37,0,2,0,1,0,340,85,58,59.4,21,0.59,0,0,1,2,0.06,0,0,0,90,94.2,35,0,,1,49,43,1988,2273,87.5,2209,64,59,0,178,5,21,40,8,2581,12,15,80,12,0,9225,5052,5,1868,1858,99.5,2
Grant Hanley,SCO,DF,Norwich City,29,20000,33,33,2897,32.2,1,0,1,0,0,2,0,20,4,20,0.62,0.12,0.05,0.25,8.1,0,55,38,14,15,269,77,54,23,65,120,196,1,0,28,24,2,1,0,1,0,252,116,37,75.8,10,0.31,0,0,0,0,0,0,0,0,88,84.7,31,0,,0,20,70,1053,1243,84.7,1188,55,54,0,127,0,23,10,12,1663,4,6,66.7,4,0,3325,1450,1,946,915,96.7,3
Kortney Hause,ENG,DF,Aston Villa,26,8077,7,4,397,4.4,1,0,1,0,0,0,0,2,2,100,0.45,0.45,0.5,0.5,10.1,0,4,4,2,0,47,10,5,5,9,13,19,0,0,8,2,1,1,0,1,0,55,20,8,71.4,0,0,0,0,0,0,0,0,0,0,57,11.6,3,3,16,19,6,9,162,206,78.6,201,5,5,0,29,0,10,0,5,249,2,4,50,2,0,960,512,2,153,145,94.8,3
Rico Henry,ENG,DF,Brentford,24,11923,34,33,2776,30.8,3,0,3,0,0,2,0,14,5,35.7,0.45,0.16,0.21,0.6,16,0,42,27,11,25,396,74,12,62,59,101,62,1,0,21,32,1,50,0,1,0,311,37,45,45.1,41,1.33,3,1,0,1,0.03,0,0,0,82,81.2,24,1,27,0,40,41,868,1202,72.2,1078,124,7,0,186,2,28,49,65,1546,23,53,43.4,24,1,4391,2330,44,975,839,86.1,61
Ki-Jana Hoever,NED,DF,Wolves,19,40385,8,4,308,3.4,0,0,0,0,0,1,0,1,0,0,0.29,0,0,,22.2,0,16,10,5,8,81,6,0,6,5,21,8,0,0,5,4,1,8,0,0,0,23,4,4,50,3,0.88,0,0,0,0,0,0,0,0,39,9,3,4,4,21,0,5,113,159,71.1,122,37,4,0,15,1,7,9,8,200,1,7,14.3,1,0,587,377,3,127,105,82.7,5
Rob Holding,ENG,DF,Arsenal,25,40000,15,9,845,9.4,1,0,1,0,0,4,1,4,1,25,0.43,0.11,0.25,1,6.8,0,12,7,5,3,62,25,18,7,15,27,50,0,1,9,4,0,0,0,0,0,88,28,21,57.1,3,0.32,0,0,0,0,0,0,0,0,56,24.7,8,6,16,21,18,14,418,474,88.2,458,16,7,0,62,0,9,7,5,579,1,3,33.3,1,0,1599,783,3,373,364,97.6,0
Mason Holgate,ENG,DF,Everton,24,25000,25,23,2134,23.7,2,1,2,0,0,7,1,7,2,28.6,0.3,0.08,0.29,1,9.8,0,44,26,14,16,231,30,19,11,42,86,127,0,0,28,17,0,3,0,0,1,234,76,35,68.5,3,0.13,0,0,0,1,0.04,0,0,0,85,62.4,22,2,34,10,29,42,564,803,70.2,742,61,35,0,115,3,28,18,10,1058,1,2,50,1,0,2506,1214,8,515,498,96.7,1
Reece James,ENG,DF,Chelsea,21,58077,26,22,1864,20.7,5,9,5,0,0,4,1,37,10,27,1.79,0.48,0.14,0.5,20.4,6,39,23,8,17,265,29,3,26,21,60,21,0,0,18,37,4,82,0,0,1,167,22,24,47.8,79,3.81,3,3,0,11,0.53,1,0,0,72,54.5,17,4,23,1,41,21,1442,1667,86.5,1425,242,32,4,260,4,13,41,48,1877,34,43,79.1,36,1,5827,2899,24,1449,1336,92.2,98
Pontus Jansson,SWE,DF,Brentford,30,25000,37,37,3321,36.9,3,1,3,0,0,7,0,23,10,43.5,0.62,0.27,0.13,0.3,8.2,0,36,25,17,19,204,56,27,29,69,105,208,2,0,20,12,5,1,1,0,0,374,131,82,61.5,15,0.41,0,1,0,4,0.11,0,1,0,90,97.1,36,0,,0,46,56,1188,1449,82,1393,56,40,0,148,5,19,26,11,1840,3,4,75,4,0,4387,1998,3,1051,996,94.8,4
Ben Johnson,ENG,DF,West Ham,21,19231,20,16,1397,15.5,1,0,1,0,0,1,0,5,1,20,0.32,0.06,0.2,1,23.6,0,30,16,17,13,172,49,10,39,25,55,49,0,0,11,5,0,40,0,0,0,115,18,19,48.6,16,1.03,0,1,0,2,0.13,0,0,0,70,40.8,13,4,14,12,23,18,528,758,69.7,609,149,6,1,74,2,21,25,34,942,9,16,56.3,12,2,2354,1021,13,548,506,92.3,18
Phil Jones,ENG,DF,Manchester Utd,29,75000,4,2,163,1.8,0,0,0,0,0,0,0,0,0,,0,0,,,,0,6,4,3,1,23,3,3,0,5,11,9,0,0,0,3,0,0,0,0,0,12,1,0,100,2,1.1,0,1,0,0,0,0,0,0,41,4.8,1,2,14,20,0,3,71,79,89.9,79,0,0,0,7,0,1,0,2,100,0,0,,0,0,284,141,0,63,63,100,0
James Justin,ENG,DF,Leicester City,23,8269,13,11,998,11.1,0,0,0,0,0,0,0,5,1,20,0.45,0.09,0,0,10.6,0,31,21,9,9,181,28,5,23,27,58,33,0,0,8,14,1,11,0,0,0,97,17,17,50,16,1.44,0,1,0,1,0.09,0,0,0,77,29.2,10,2,34,2,20,13,524,653,80.2,545,108,7,0,92,2,10,21,22,801,4,12,33.3,5,1,1777,1034,14,515,470,91.3,27
Mathias Jorgensen,DEN,DF,Brentford,31,20000,8,6,518,5.8,1,0,1,0,0,2,0,2,1,50,0.35,0.17,0.5,1,6.9,0,11,2,6,3,54,8,1,7,10,21,14,0,0,9,1,0,8,0,0,0,66,18,8,69.2,6,1.04,0,0,0,0,0,0,0,0,65,15.1,5,2,29,6,8,10,247,332,74.4,264,68,8,0,32,1,3,15,5,382,0,0,,0,0,909,609,2,204,194,95.1,1
Ozan Kabak,TUR,DF,Norwich City,21,27692,11,11,922,10.2,0,0,0,0,0,2,0,4,2,50,0.39,0.2,0,0,15,0,13,11,4,5,94,19,12,7,22,35,29,0,0,12,13,0,0,0,2,0,80,29,20,59.2,10,0.98,1,3,1,0,0,0,0,0,84,27,9,0,,8,4,25,341,414,82.4,397,17,13,0,74,0,9,9,10,514,14,18,77.8,14,0,1691,948,6,333,320,96.1,0
Christian Kabasele,BEL,DF,Watford,30,30000,16,12,1193,13.3,0,0,0,0,0,0,0,7,0,0,0.53,0,0,,8.8,0,10,6,3,2,83,33,17,16,26,36,58,2,0,6,4,0,1,0,0,0,116,50,17,74.6,5,0.38,0,0,0,0,0,0,0,0,75,34.9,12,4,28,15,10,30,360,456,78.9,447,9,5,0,67,0,12,8,4,592,0,1,0,1,0,1463,604,4,324,320,98.8,2
Hassane Kamara,CIV,DF,Watford,27,26538,19,18,1623,18,1,0,1,0,0,5,1,5,1,20,0.28,0.06,0.2,1,25.3,0,61,29,24,16,300,33,5,28,94,155,57,0,1,27,17,0,19,0,1,0,184,41,13,75.9,21,1.16,1,0,3,0,0,0,0,0,85,47.5,15,1,45,0,10,36,636,905,70.3,717,188,11,1,150,4,31,39,33,1161,18,34,52.9,19,1,3262,1512,9,552,510,92.4,16
Michael Keane,ENG,DF,Everton,28,65000,32,31,2792,31,3,2,3,0,0,4,1,20,6,30,0.64,0.19,0.15,0.5,11.9,0,49,35,25,18,228,51,32,19,62,111,149,2,1,17,11,1,0,0,0,2,321,121,72,62.7,14,0.45,0,0,0,1,0.03,0,0,0,87,81.6,29,1,73,4,36,55,896,1154,77.6,1125,29,29,1,179,1,30,22,11,1486,5,7,71.4,5,0,4121,1856,3,809,782,96.7,6
Kenedy,BRA,DF,Chelsea,25,25000,1,1,58,0.6,0,1,0,0,0,0,0,1,0,0,1.55,0,0,,17,0,3,2,0,2,9,2,0,2,0,3,0,0,0,1,0,0,3,0,0,0,5,0,1,0,3,4.66,0,0,0,1,1.55,0,0,0,58,1.7,0,0,,7,1,0,38,49,77.6,46,3,0,1,5,0,1,1,1,60,0,1,0,0,0,161,76,2,47,45,95.7,7
Jonjoe Kenny,ENG,DF,Everton,24,15000,15,11,1018,11.3,0,1,0,0,0,3,1,5,0,0,0.44,0,0,,23.8,0,19,12,14,14,141,17,2,15,32,51,21,0,1,11,6,1,15,0,0,0,93,13,16,44.8,20,1.77,2,0,0,2,0.18,0,0,0,90,78.6,28,0,,2,27,25,352,473,74.4,380,93,4,0,74,4,14,19,11,581,3,9,33.3,3,1,1250,634,4,313,288,92,12
Max Kilman,ENG,DF,Wolves,24,15000,30,30,2687,29.9,1,0,1,0,0,3,0,13,4,30.8,0.44,0.13,0.08,0.25,8.8,0,53,33,20,13,240,52,21,31,64,117,118,1,0,22,16,0,2,0,1,0,238,86,43,66.7,9,0.3,1,0,1,1,0.03,0,0,0,70,65.7,20,5,12,1,23,47,1279,1476,86.7,1440,36,25,1,153,2,18,21,15,1778,13,17,76.5,14,0,6267,3616,9,1206,1181,97.9,7
Ibrahima Konate,FRA,DF,Liverpool,22,70000,11,11,990,11,0,0,0,0,0,2,0,4,0,0,0.36,0,0,,9,0,14,8,3,4,86,15,10,5,28,42,47,0,0,13,3,0,0,0,0,0,128,41,16,71.9,6,0.55,0,0,0,2,0.18,0,0,0,85,72.4,24,0,,3,36,41,655,728,90,718,10,8,1,68,1,4,9,5,830,3,3,100,3,0,2786,1647,2,578,569,98.4,2
Ezri Konsa,ENG,DF,Aston Villa,23,8077,29,29,2477,27.5,2,0,2,0,0,6,2,15,6,40,0.55,0.22,0.13,0.33,7,0,26,14,7,6,179,43,22,21,45,71,81,2,1,17,38,1,1,0,1,0,183,60,43,58.3,10,0.36,0,0,1,0,0,0,0,0,73,57.7,14,4,19,6,27,28,850,971,87.5,927,44,35,0,113,0,20,18,9,1205,6,8,75,6,0,3197,1679,8,794,757,95.3,7
Emil Krafth,SWE,DF,Newcastle Utd,26,57692,20,18,1634,18.2,0,1,0,0,0,5,0,6,1,16.7,0.33,0.06,0,0,19.7,0,39,20,21,18,232,38,10,28,48,87,53,0,0,27,12,0,18,0,0,0,142,32,27,54.2,13,0.72,1,0,0,1,0.06,0,0,0,1,0,0,1,1,31,1,0,555,760,73,587,173,7,0,98,1,12,26,24,948,3,5,60,3,0,2245,1294,4,464,428,92.2,7
Aymeric Laporte,ESP,DF,Manchester City,27,120000,33,33,2828,31.4,4,0,4,0,0,5,1,35,7,20,1.11,0.22,0.11,0.57,10.7,0,31,17,15,10,139,24,11,13,33,64,78,2,0,15,13,2,5,1,0,0,288,73,36,67,30,0.95,0,1,0,4,0.13,0,1,0,79,60.2,21,4,25,8,25,44,2703,2853,94.7,2798,55,43,3,202,1,17,19,6,3059,3,5,60,3,0,14300,9587,8,2539,2501,98.5,8
Jamaal Lascelles,ENG,DF,Newcastle Utd,27,40000,26,22,2058,22.9,1,0,1,0,0,5,0,16,3,18.8,0.7,0.13,0.06,0.33,8.4,0,21,11,7,11,154,50,32,18,35,56,134,0,0,23,4,0,5,0,3,2,177,99,35,73.9,6,0.26,0,0,0,1,0.04,0,0,0,69,66.2,15,6,21,4,17,55,508,667,76.2,658,9,6,0,118,6,14,13,7,940,1,1,100,1,0,1739,708,4,513,486,94.7,4
Jamal Lewis,NIR,DF,Newcastle Utd,23,38462,5,4,262,2.9,0,0,0,0,0,1,0,0,0,,0,0,,,,0,11,6,3,1,42,5,2,3,6,17,6,0,0,2,3,0,3,0,0,0,23,2,6,25,2,0.69,0,0,0,1,0.34,0,0,0,84,68.9,25,2,16,5,38,47,81,103,78.6,80,23,1,0,14,0,4,4,2,138,0,2,0,0,0,318,98,8,73,64,87.7,2
Victor Lindelof,SWE,DF,Manchester Utd,27,120000,28,26,2355,26.2,0,2,0,0,0,4,0,4,2,50,0.15,0.08,0,0,6.9,0,19,10,9,7,155,42,20,22,51,70,120,1,0,24,8,2,0,0,0,0,252,63,32,66.3,10,0.38,0,0,0,3,0.11,0,0,0,23,10.7,0,14,17,16,9,13,1164,1295,89.9,1266,29,24,5,152,3,9,17,12,1529,0,1,0,0,0,5874,3055,3,1006,989,98.3,2
Valentino Livramento,ENG,DF,Southampton,18,5000,28,25,2202,24.5,1,1,1,0,0,2,0,12,3,25,0.49,0.12,0.08,0.33,15.7,0,54,30,25,20,332,45,10,35,73,127,49,0,0,17,40,1,55,1,0,0,218,27,34,44.3,40,1.63,1,2,0,2,0.08,0,1,0,84,68.4,24,0,,2,27,44,883,1155,76.5,940,215,16,2,146,0,33,46,41,1466,32,58,55.2,38,1,5797,3236,30,874,776,88.8,55
Diego Llorente,ESP,DF,Leeds United,27,21923,28,28,2340,26,3,0,3,0,0,7,0,10,3,30,0.38,0.12,0.3,1,8.9,0,56,35,30,23,361,61,19,42,61,117,104,1,0,29,27,0,2,0,0,0,275,64,64,50,6,0.23,0,0,0,0,0,0,0,0,90,100,38,0,,0,69,40,1108,1344,82.4,1299,45,35,2,194,2,35,37,24,1645,9,11,81.8,9,1,7259,4603,12,1031,1003,97.3,2
Kevin Long,IRL,DF,Burnley,30,23077,6,4,410,4.6,0,0,0,0,0,1,0,4,0,0,0.88,0,0,,11.6,0,6,5,0,2,42,8,3,5,7,13,15,0,0,6,1,1,0,0,0,0,32,14,4,77.8,1,0.22,0,0,0,0,0,0,0,0,24,9,0,10,10,18,6,5,80,98,81.6,97,1,1,0,15,0,5,0,2,139,0,0,,0,0,365,144,1,70,67,95.7,0
Matthew Lowton,ENG,DF,Burnley,32,25000,25,20,1772,19.7,1,2,1,0,0,3,1,10,2,20,0.51,0.1,0.1,0.5,20.5,0,45,26,21,25,188,45,13,32,34,79,68,0,0,18,8,0,39,0,0,0,182,31,26,54.4,33,1.68,0,2,1,2,0.1,0,0,0,80,79.4,22,3,20,0,43,38,598,871,68.7,674,197,17,2,91,5,20,28,37,1077,9,15,60,10,0,2037,1211,7,536,486,90.7,18
Lyanco,BRA,DF,Southampton,24,48077,15,9,911,10.1,0,0,0,0,0,2,0,6,0,0,0.59,0,0,,15.2,0,17,14,5,9,99,28,17,11,29,46,66,1,0,16,8,0,3,0,0,0,86,21,15,58.3,9,0.89,0,0,2,1,0.1,0,0,0,64,62.1,18,11,21,5,31,29,277,369,75.1,353,16,12,0,53,2,9,13,6,513,6,7,85.7,6,0,1423,623,5,263,252,95.8,2
Harry Maguire,ENG,DF,Manchester Utd,28,190000,30,28,2515,27.9,1,0,1,0,0,9,1,23,10,43.5,0.82,0.36,0.04,0.1,11.9,0,41,26,14,13,173,46,32,14,53,94,130,0,1,23,23,1,1,0,0,1,284,102,36,73.9,20,0.72,1,1,1,1,0.04,0,0,0,54,43.8,10,13,18,8,44,14,1320,1512,87.3,1464,48,45,0,191,5,30,17,9,1808,3,5,60,3,0,7191,3901,4,1201,1175,97.8,7
Javier Manquillo,ESP,DF,Newcastle Utd,27,35000,19,15,1257,14,1,2,1,0,0,5,0,4,2,50,0.29,0.14,0.25,0.5,15.5,0,41,24,19,17,175,28,6,22,23,64,29,0,0,8,18,1,10,0,0,0,100,16,15,51.6,9,0.64,0,1,0,4,0.29,0,1,0,81,42.4,12,1,3,14,10,14,298,406,73.4,307,99,1,0,50,1,10,23,12,552,8,12,66.7,8,0,1148,516,7,268,224,83.6,18
Fernando Marcal,BRA,DF,Wolves,32,35000,18,17,1449,16.1,0,0,0,0,0,3,0,11,1,9.1,0.68,0.06,0,0,22.3,0,42,26,17,16,241,42,5,37,31,73,54,0,0,33,12,1,55,0,1,0,137,29,17,63,17,1.06,0,1,0,1,0.06,0,0,0,56,51.1,10,14,25,6,26,23,677,870,77.8,730,140,6,1,108,7,13,34,30,1084,9,18,50,10,3,2902,1784,11,685,623,90.9,48
Adam Masina,MAR,DF,Watford,27,27885,15,13,1077,12,0,1,0,0,0,0,0,5,0,0,0.42,0,0,,11.6,0,24,14,10,20,162,29,6,23,31,55,41,0,0,19,5,0,18,0,1,0,93,30,15,66.7,11,0.92,0,1,1,1,0.08,0,0,0,50,19,4,7,23,16,7,12,380,540,70.4,425,115,11,0,66,1,14,15,12,668,8,10,80,8,0,1374,731,6,339,316,93.2,5
Joel Matip,CMR,DF,Liverpool,29,100000,31,31,2790,31,3,3,3,0,0,2,0,34,7,20.6,1.1,0.23,0.09,0.43,8.7,0,48,36,17,12,210,38,17,21,66,114,121,1,0,16,19,0,0,0,0,0,376,120,55,68.6,34,1.1,0,1,0,9,0.29,0,1,0,71,66.5,19,7,24,5,25,31,2015,2238,90,2182,56,40,2,237,3,21,32,15,2549,13,14,92.9,13,0,10768,7547,7,1824,1778,97.5,8
Ben Mee,ENG,DF,Burnley,31,55000,21,21,1839,20.4,3,0,3,0,0,3,0,18,4,22.2,0.88,0.2,0.17,0.75,8,0,27,16,11,11,109,40,26,14,35,62,122,0,0,14,8,2,3,0,0,1,243,92,37,71.3,8,0.39,0,1,0,0,0,0,0,0,34,2,0,1,7,5,0,2,539,734,73.4,707,27,23,0,122,3,19,13,14,974,4,6,66.7,5,0,2388,1029,5,472,452,95.8,3
Benjamin Mendy,FRA,DF,Manchester City,27,90000,1,1,78,0.9,0,0,0,0,0,0,0,0,0,,0,0,,,,0,3,1,2,2,12,0,0,0,0,3,3,0,0,3,0,0,4,0,0,0,7,2,2,50,4,4.62,0,0,0,0,0,0,0,0,90,89.5,34,0,,0,70,31,73,87,83.9,75,12,4,0,1,0,0,1,6,94,1,2,50,1,1,302,204,1,72,69,95.8,1
Yerry Mina,COL,DF,Everton,26,120000,13,11,846,9.4,0,0,0,0,0,3,0,6,1,16.7,0.64,0.11,0,0,9.2,0,17,12,9,5,70,19,11,8,10,27,47,1,0,9,9,1,2,0,0,0,85,38,17,69.1,3,0.32,0,0,1,0,0,0,0,0,17,5.4,1,10,10,15,6,1,289,353,81.9,345,8,5,0,69,1,8,6,8,459,0,1,0,1,0,1284,566,1,269,255,94.8,4
Tyrone Mings,ENG,DF,Aston Villa,28,80000,36,35,3189,35.4,1,3,1,0,0,11,0,21,5,23.8,0.59,0.14,0.05,0.2,12.4,0,36,21,11,10,203,69,33,36,78,114,181,2,0,29,27,1,4,0,1,0,314,95,49,66,26,0.73,0,2,1,4,0.11,0,0,0,86,90.7,32,1,18,1,45,43,1272,1580,80.5,1507,73,53,2,162,3,37,29,19,1960,9,11,81.8,9,0,6873,3659,3,1231,1178,95.7,10
Tyrick Mitchell,ENG,DF,Crystal Palace,21,28846,36,35,3101,34.5,0,2,0,0,0,1,0,5,1,20,0.15,0.03,0,0,15.4,0,108,54,43,22,683,76,6,70,79,187,85,1,0,22,17,2,56,1,0,0,316,33,40,45.2,41,1.19,1,1,1,5,0.15,0,0,0,61,49.7,10,9,18,2,17,23,1383,1898,72.9,1495,403,33,1,228,8,48,75,73,2287,15,29,51.7,16,1,5335,2745,37,1277,1182,92.6,60
Vitaliy Mykolenko,UKR,DF,Everton,22,32115,13,12,1055,11.7,1,0,1,0,0,0,0,8,2,25,0.68,0.17,0.13,0.5,18.3,0,28,14,12,14,172,34,2,32,25,53,31,1,0,15,11,0,27,1,0,0,101,13,17,43.3,14,1.19,0,1,1,3,0.26,0,1,0,57,26.4,5,6,22,8,15,20,324,461,70.3,339,122,15,1,56,0,11,8,14,610,5,11,45.5,7,1,997,484,6,269,240,89.2,11
Jeremy Ngakia,ENG,DF,Watford,20,2500,16,9,903,10,0,0,0,0,0,0,0,5,0,0,0.5,0,0,,26.3,0,41,21,20,13,202,16,3,13,29,70,20,0,0,12,7,0,18,0,0,0,83,19,22,46.3,12,1.2,0,1,0,1,0.1,0,0,0,48,14,3,5,24,23,14,6,322,433,74.4,343,90,9,0,72,3,11,11,17,553,10,15,66.7,11,2,1471,906,7,283,261,92.2,6
Nicolas Nkoulou,CMR,DF,Watford,31,24615,3,2,168,1.9,0,0,0,0,0,0,0,0,0,,0,0,,,,0,1,0,0,0,7,5,2,3,1,2,10,0,0,1,0,0,0,0,0,0,13,1,1,50,1,0.54,0,0,0,0,0,0,0,0,30,9.7,1,8,13,22,5,5,46,53,86.8,52,1,1,0,0,0,0,1,0,72,1,1,100,1,0,126,47,1,41,40,97.6,0
Angelo Ogbonna,ITA,DF,West Ham,33,70000,11,11,921,10.2,1,0,1,0,0,1,0,3,1,33.3,0.29,0.1,0.33,1,11.1,0,13,8,2,5,50,7,4,3,13,26,38,0,0,5,3,0,0,0,0,0,78,26,12,68.4,2,0.2,0,0,0,1,0.1,0,0,0,44,33.4,4,14,16,2,18,14,392,452,86.7,447,5,3,0,41,2,5,2,3,528,0,0,,0,0,1947,714,1,375,363,96.8,1
Andrew Omobamidele,IRL,DF,Norwich City,19,12115,5,4,382,4.2,1,0,1,0,0,1,0,2,1,50,0.47,0.24,0.5,1,6.5,0,8,3,6,6,49,10,10,0,10,18,17,0,0,5,5,0,0,0,0,0,51,6,10,37.5,0,0,0,0,0,0,0,0,0,0,9,0.8,0,3,9,2,0,0,196,226,86.7,210,16,8,0,27,0,2,1,3,276,0,0,,0,0,931,539,1,164,161,98.2,1
Ricardo Pereira,POR,DF,Leicester City,27,70000,14,13,991,11,1,3,1,0,0,3,0,10,2,20,0.91,0.18,0.1,0.5,16.3,0,45,25,20,19,194,27,4,23,25,70,32,0,0,8,17,0,17,0,0,0,81,23,11,67.6,23,2.09,3,0,1,6,0.54,1,0,1,32,13,0,8,15,18,9,12,520,646,80.5,541,105,3,0,89,0,4,23,28,798,10,16,62.5,10,2,1948,1208,6,523,469,89.7,15
Romain Perraud,FRA,DF,Southampton,23,39231,20,18,1623,18,0,1,0,0,0,3,0,19,3,15.8,1.05,0.17,0,0,20.3,0,38,20,16,12,325,30,7,23,24,62,46,0,0,35,20,0,49,0,0,0,130,18,30,37.5,27,1.5,2,1,1,3,0.17,0,0,0,80,46.7,16,2,29,3,18,25,492,750,65.6,597,153,6,0,101,2,12,28,48,955,9,22,40.9,12,0,2945,1550,11,588,510,86.7,44
Erik Pieters,NED,DF,Burnley,32,48077,12,8,730,8.1,0,1,0,0,0,1,0,7,0,0,0.86,0,0,,23.8,0,28,16,16,19,143,25,7,18,23,51,27,1,0,18,5,0,4,0,0,0,75,13,12,52,7,0.86,0,0,0,1,0.12,0,0,0,84,78.8,28,0,,0,35,43,242,344,70.3,264,80,3,1,47,3,7,13,15,457,3,7,42.9,3,0,967,574,3,195,181,92.8,4
Ethan Pinnock,JAM,DF,Brentford,28,15000,32,32,2694,29.9,1,1,1,0,0,1,0,18,8,44.4,0.6,0.27,0.06,0.13,9,0,63,38,20,16,281,49,13,36,56,119,175,1,0,12,19,1,28,0,0,0,349,151,71,68,20,0.67,0,0,0,3,0.1,0,0,0,57,43.4,4,11,22,3,26,12,1180,1555,75.9,1316,239,41,0,196,7,21,30,17,1925,5,8,62.5,6,0,4048,2209,7,1007,960,95.3,13
Sergio Reguilon,ESP,DF,Tottenham,24,53000,25,22,1916,21.3,2,3,2,0,0,4,0,21,9,42.9,0.99,0.42,0.1,0.22,14.9,0,47,28,23,16,298,32,7,25,42,89,43,0,0,25,28,1,59,0,0,0,144,31,24,56.4,52,2.44,3,3,0,5,0.23,0,0,0,88,93,35,1,29,0,56,49,744,986,75.5,821,165,18,1,98,4,12,34,43,1252,18,48,37.5,19,5,3480,1946,20,866,752,86.8,79
Matt Ritchie,SCO,DF,Newcastle Utd,31,45000,18,14,1337,14.9,0,2,0,0,0,5,0,10,3,30,0.67,0.2,0,0,22,1,22,7,13,17,153,28,2,26,30,52,26,0,0,12,11,0,45,0,0,0,118,14,21,40,40,2.69,0,0,0,3,0.2,0,0,0,81,49.5,17,2,23,4,15,23,511,703,72.7,517,186,34,1,74,3,13,22,15,827,3,5,60,3,1,1584,721,4,439,403,91.8,13
